"Ajouter au panier","Dem Warenkorb hinzufügen"
"Voir plus de produits","Weitere Produkte anzeigen"
"Voir tous les produits","Alle Produkte"
"Besoin d'aide ?","Hilfe notwendig?"
"Une question ?","Fragen?"
"Consultez notre aide en ligne","Benutzen Sie unsere Online-Hilfe"
"Des nouveautés, des actus, des bons plans, des recettes ...","Neuheiten, News, Schnäppch"
"Tout ça rien que pour vous !","All dies nur für Sie!"
"Partenaires et presse","Partner und Presse"
"La collection","Die Kollektion"
"Changer de couleur","Farbe ändern"
"Faites découvrir à vos amis sur...","Freunde einladen unter..."
"Personnalisez votre MB Original","Ihren MB Original individu"
"Dimension et composition","Abmessungen und Zusammense"
"L’adopter c’est...","Die Wahl bedeutet..."
"Vous faire encore plus plaisir","Noch mehr Freude"
"À partir de %s d'achat, la livraison est offerte","Ab %s kostenlose Lieferung"
"En ce moment, ne manquez pas...","Jetzt nicht verpassen..."
"Première visite ?","Erster Besuch?"
"Déjà un compte ? Faites comme chez vous ...","Schon ein Benutzerkonto? Fühlen Sie sich wie zuhause..."
"Pas encore de compte ? C'est l'affaire d'une minute ...","Noch kein Benutzerkonto? Dauert nur eine Minute..."
"Filtrer par couleur","Nach Farbe filtern"
"Victime de son succès !","Opfer des eigenen Erfolgs!"
"Recommencer","Erneut versuchen"
"Lancer un modèle aléatoire","Zufallsmodell wählen"
"Télécharger","Download"
"La qualité, le design et la personnalisation <br>au coeur de la marque","QUALITÄT, DESIGN UND PERSONALISIERUNG <br>IM ZENTRUM DER MARKE"
"L'accent mis sur la qualité","Das Hauptaugenmerk auf Qualität"
"Respect de l'ensemble des <strong>normes alimentaires</strong> internationales","Einhaltung aller <strong>internationalen Lebensmittelnormen</strong>"
"Produits garantis <strong>sans BPA</strong> conformément à la réglementation","Produkte garantiert <strong>ohne BPA</strong> gemäß den Vorschriften"
"<strong>Matières plastiques de très haute qualité</strong> : PBT (< Allemagne), Tritan&reg; (< USA) et PP","<strong>Verwendung sehr hochwertiger Kunststoffe</strong>: PBT (< Deutschland), Tritan® (< USA) und PP"
"<strong>Contrôles qualité</strong> réguliers réalisés par des organismes indépendants (Tuv, SGS...)","<strong>Regelmäßige Qualitätskontrollen</strong> durch unabhängige Prüfstelle (TÜV, SGS…)"
"<strong>Extension de garantie</strong> gratuite soit 3 ans de garantie au total","Kostenlose Verlängerung der Garantiedauer auf insgesamt 3 Jahre"
"Garantie 3 ans","Garantiedauer auf insgesamt 3 Jahre"
"Le design <br>comme clé de voûte","Design als Schlüsselelement "
"Avec un Co-fondateur (également Directeur Général) designer produit, le design est au centre des décisions","Mit einem Mitbegründer (und Generaldirektor), der Produkt-Designer ist, ist das Design im Kern der Entscheidungen."
"Designed in France","Designed in France"
"Plusieurs prix internationaux","In Frankreich entworfen"
"Des produits uniques grâce au module de personnalisation","Einzigartige Produkte mit dem Personalisierungsmodul"
"Depuis 2012, il est possible de créer le bento MB Original de ses rêves en seulement quelques clics. Plus de 2 millions de combinaisons de couleurs sont possibles !","Seit 2012 ist es möglich, den Bento MB Original Ihrer Träume mit wenigen Klicks zu kreieren. Mehr als 2 Millionen Farbkombinationen sind möglich!"
"Créer mon MB Original","Mein MB Original kreieren"
"La P'tite histoire","WIE ALLES BEGANN…"
"about.story","Zurück von einer Reise nach Australien erdachte Designer Fabien ein innovatives Esskonzept, das ihn schließlich zur Bento-Box führte. Diese fand schnell eine Anhängerin in Person von Physiotherapeutin Emilie, die schon bald nicht mehr ohne im Alltag auskam. Die neuartige, an den westlichen Lebensstil angepasste Bento-Box war in Europa jedoch nur schwierig erhältlich. Angesichts dieser Feststellung und aufgrund ihres ausgeprägten Unternehmergeists gründeten Fabien und Emilie 2009 zusammen das Unternehmen monbento®."
"about.peugeot.title","Hand in Hand mit Peugeot"
"about.peugeot.subtitle1","Französischer Trendsetter für Bento-Boxen wird Teil ikonischer Haushaltswarenmarke"
"about.peugeot.text1","monbento® will den Weg der Innovation immer weiter gehen und ist stolz, seit Juli 2018 den Familienkonzern Peugeot zu seinen Anteilseignern zu zählen. Das Unternehmen ist bereits über seine Filiale Peugeot Saveurs SNC im Haushaltswarenbereich tätig."
"about.peugeot.text2","Das Vereinen der Kräfte von Peugeot und monbento® bei gleichzeitiger Beibehaltung der Einzigartigkeit der beiden Firmen erschien wie eine Selbstverständlichkeit!"
"about.peugeot.button.text","Peugeot Saveurs Gmbh"
"about.peugeot.button.link","https://fr.peugeot-saveurs.com/en_fr/"
"Revue de presse","PRESSESCHAU"
"Petite sélection des grands médias qui ont parlé de monbento <br>et de nos produits...","Eine kleine Auswahl an berühmten Medien, die über monbento und unsere Produkte gesprochen haben. "
"Équipe & Partenaires","Team & Partner"
"Co-fondatrice","Mitbegründerin"
"C’est pour vivre des expériences extraordinaires que cette passionnée de sports extrêmes a fait le grand saut de l’entreprenariat ! Libre, créative et concernée par le monde qui l’entoure, elle incarne les valeurs de la marque à laquelle elle a donné naissance.","Die leidenschaftliche Extremsportlerin hat den Sprung in die Unternehmenswelt gewagt, um neue Herausforderungen zu erleben! Sie ist unabhängig, kreativ und verantwortungsbewusst und steht so für die Werte der Marke, die sie ins Leben gerufen hat."
"Co-fondateur &amp; designer","Mitbegründer und Designer"
