"Ajouter au panier","Add to basket"
"Voir plus de produits","See more products"
"Voir tous les produits","See all products"
"Besoin d'aide ?","Need help?"
"Une question ?","Any questions?"
"Consultez notre aide en ligne","Go to our online help desk."
"Des nouveautés, des actus, des bons plans, des recettes ...","New products, news, offers, recipes ..."
"Tout ça rien que pour vous !","just for you!"
"Partenaires et presse","Partners and press information"
"La collection","The collection"
"Changer de couleur","Change colour"
"Faites découvrir à vos amis sur...","Share with your friends on..."
"Personnalisez votre MB Original","Personalise your MB Original"
"Dimension et composition","Size and product information "
"L’adopter c’est...","Choose monbento to..."
"Vous faire encore plus plaisir","Experience greater pleasure"
"À partir de %s d'achat, la livraison est offerte","Free delivery on orders over %s"
"En ce moment, ne manquez pas...","Available now, don’t miss…"
"Première visite ?","First visit?"
"Déjà un compte ? Faites comme chez vous ...","Already have an account? Make yourself at home..."
"Pas encore de compte ? C'est l'affaire d'une minute ...","Don’t yet have an account? It’ll only take a minute..."
"Filtrer par couleur","Filter by colour"
"Victime de son succès !","A victim of its success!"
"Recommencer","Restart"
"Lancer un modèle aléatoire","Show a random design"
"Télécharger","Download"
"La qualité, le design et la personnalisation <br>au coeur de la marque","QUALITY, DESIGN AND CUSTOMIZATION"
"L'accent mis sur la qualité","Focus on quality"
"Respect de l'ensemble des <strong>normes alimentaires</strong> internationales","Complies with all international <strong>food regulations</strong>"
"Produits garantis <strong>sans BPA</strong> conformément à la réglementation","<strong>BPA-free</strong> products guaranteed in accordance with the regulations"
"<strong>Matières plastiques de très haute qualité</strong> : PBT (< Allemagne), Tritan&reg; (< USA) et PP","<strong>Use of very high quality plastics</strong>: PBT (< Germany), Tritan® (< USA) and PP"
"<strong>Contrôles qualité</strong> réguliers réalisés par des organismes indépendants (Tuv, SGS...)","Regular <strong>quality controls</strong> carried out by independent bodies (Tuv, SGS...)"
"<strong>Extension de garantie</strong> gratuite soit 3 ans de garantie au total","Extended 3-year warranty"
"Garantie 3 ans","3-year warranty"
"Le design <br>comme clé de voûte","Design <br>as a cornerstone"
"Avec un Co-fondateur (également Directeur Général) designer produit, le design est au centre des décisions","With a co-founder (also General Director) product designer, the design have a central place in the decisions"
"Designed in France","Designed in France"
"Plusieurs prix internationaux","Several international awards"
"Des produits uniques grâce au module de personnalisation","Unique products thanks to our personalisation features"
"Depuis 2012, il est possible de créer le bento MB Original de ses rêves en seulement quelques clics. Plus de 2 millions de combinaisons de couleurs sont possibles !","Since 2012 it has been possible to create the MB Original bento box of your dreams – in just a few clicks. Over 2 million colour-combinations are possible!"
"Créer mon MB Original","Create my own MB Original"
"La P'tite histoire","THE STORY"
"about.story","Following a trip to Australia, Fabien, designer, came up with an innovative design for eating out, that led him to the bento box. Physiotherapist, Emilie, soon adopted the small box, which became an indispensable item in her day-to-day life.  Although perfectly suited to the Western way of life, bento boxes were still hard to find in Europe. Acting on this observation and their desire to launch a business, Fabien and Emilie went into partnership to create the company  monbento® in 2009."
"about.peugeot.title","Hand in hand with Peugeot"
"about.peugeot.subtitle1","The French bento leader joins forces with an iconic tableware brand"
"about.peugeot.text1","Driven by its desire to take innovation further,  monbento® joined in July 2018 the Peugeot family Group, already involved in the culinary world through its subsidiary Peugeot Saveurs SNC."
"about.peugeot.text2","Joining monbento and Peugeot's forces while maintaining each brand's uniqueness seemed obvious!"
"about.peugeot.button.text","Peugeot Saveurs company"
"about.peugeot.button.link","https://fr.peugeot-saveurs.com/en_fr/"
"Revue de presse","PRESS REVIEW"
