"Ajouter au panier","Añadir a la cesta"
"Voir plus de produits","Ver más productos"
"Voir tous les produits","Ver todos los productos"
"Besoin d'aide ?","¿Necesita ayuda?"
"Une question ?","¿Una pregunta?"
"Consultez notre aide en ligne","Consulte nuestra asistencia on line."
"Des nouveautés, des actus, des bons plans, des recettes ...","Novedades, noticias, ocasiones, recetas..."
"Tout ça rien que pour vous !","¡Todo ello sólo para usted!"
"Partenaires et presse","Socios y prensa"
"La collection","La colección"
"Changer de couleur","Cambiar de color"
"Faites découvrir à vos amis sur...","Enséñeselo a sus amigos en..."
"Personnalisez votre MB Original","Personalizar su MB Original"
"Dimension et composition","Dimensiones y composición"
"L’adopter c’est...","Adoptarlo es..."
"Vous faire encore plus plaisir","Darle aún más alegrías"
"À partir de %s d'achat, la livraison est offerte","A partir de %s, el envío es gratis"
"En ce moment, ne manquez pas...","En este momento, no se pierda..."
"Première visite ?","¿Primera visita?"
"Déjà un compte ? Faites comme chez vous ...","¿Ya tiene cuenta? Siéntase como en casa..."
"Pas encore de compte ? C'est l'affaire d'une minute ...","¿Aún no tiene cuenta? Sólo tardará un minuto..."
"Filtrer par couleur","Filtrar por colores"
"Victime de son succès !","¡Víctima de su éxito!"
"Recommencer","Volver a empezar"
"Lancer un modèle aléatoire","Lanzar un modelo aleatorio"
"Télécharger","Descargar"
"La qualité, le design et la personnalisation <br>au coeur de la marque","LA CALIDAD, EL DISEÑO Y LA PERSONALIZACIÓN <br>EN EL CORAZÓN DE LA MARCA"
"L'accent mis sur la qualité","Poniendo el acento en la calidad"
"Respect de l'ensemble des <strong>normes alimentaires</strong> internationales","Respetar el conjunto de <strong>normas alimentarias</strong> internacionales "
"Produits garantis <strong>sans BPA</strong> conformément à la réglementation","Productos garantizados <strong>sin BPA</strong> de acuerdo con las normas"
"<strong>Matières plastiques de très haute qualité</strong> : PBT (< Allemagne), Tritan&reg; (< USA) et PP","<strong>Materias plásticas utilizadas de muy alta calidad</strong>: PBT (< Alemania), Tritan® (< EE.UU.) y PP"
"<strong>Contrôles qualité</strong> réguliers réalisés par des organismes indépendants (Tuv, SGS...)","<strong>Controles de calidad</strong> regulares realizados por organismos independientes (Tuv, SGS...)"
"<strong>Extension de garantie</strong> gratuite soit 3 ans de garantie au total","<strong>Extensión de garantía</strong> gratuita, es decir, un total de 3 años de garantía"
"Garantie 3 ans","3 años de garantía"
"Le design <br>comme clé de voûte","El diseño <br>como piedra angular"
"Avec un Co-fondateur (également Directeur Général) designer produit, le design est au centre des décisions","Con un diseñador de productos co-fundador (también CEO), el diseño está en el centro de las decisiones"
"Designed in France","Designed in France"
"Plusieurs prix internationaux","Varios premios internacionales"
"Des produits uniques grâce au module de personnalisation","Productos únicos gracias al módulo de personalización"
"Depuis 2012, il est possible de créer le bento MB Original de ses rêves en seulement quelques clics. Plus de 2 millions de combinaisons de couleurs sont possibles !","Desde el 2012, puede crear el bento MB Original de sus sueños en pocos clics. ¡Más de 2 millones de combinaciones de colores son posibles! "
"Créer mon MB Original","Crear mi MB Original"
"La P'tite histoire","UN POCO DE HISTORIA..."
"about.story","Al volver de un viaje a Australia, Fabien, diseñador, se imaginó un innovador concepto de restauración que lo llevó hasta el bento. Éste fue rápidamente adoptado por Emilie, fisioterapeuta, hasta convertirse en un elemento imprescindible de su vida diaria. A pesar de ser innovador y de adaptarse al estilo de vida occidental, el bento seguía siendo difícil de encontrar en Europa. Frente a esa constatación, y con su espíritu emprendedor, Fabien y Emilie se asociaron en 2009 para crear la sociedad monbento®."
