Arte"Featured products","Coup de foudre"
"Contact us","Nous contacter"
"Add to Cart","Ajouter au panier"
"My Cart <strong>%s item</strong>","Mon panier <strong>%s article</strong>"
"My Cart <strong>%s items</strong>","Mon panier <strong>%s articles</strong>"
"Choose option...","---"
"Log In","Espace client <strong>Créer un compte</strong>"
"Delivery : 1 month","Délai : 1 mois"
"Order tracking","Suivi de commande"
"%s was successfully added to your shopping cart.","Le produit %s a bien été ajouté à votre panier"
"%s can not be added to your cart.","Le produit %s ne peut être ajouté à votre panier"
"Register","S'inscrire"
"Do you have any gift items in your order?","Cette commande est un cadeau ?"
"Check this checkbox if you want to add gift messages.","<strong>GRATUIT</strong> - Cliquez ici pour ajouter un message cadeau."
"You might also like","Vous aimerez aussi"
"Complete with","Complétez avec"
"Apply Coupon","Valider ce code de réduction"
"Recipes of the Week","Recettes de la semaine"
"All recipes","Toutes les recettes".
"Bento News","L'actu monbento"
"All news","Toutes les news"
"Forgot Password","Mot de passe oublié"
"Availability","Disponibilité"
"Complete with :","Complétez avec : "
"Search by keywords","Recherche par mots clés"
"My Cart <strong>(%s item)</strong>","Mon panier <strong>(%s article)</strong>"
"My Cart <strong>(%s items)</strong>","Mon panier <strong>(%s articles)</strong>"
"My cart","Mon panier"
"A question ?","Une question ?"
"price of a local call","prix d'un appel local"
"Subscribe to the newsletter","Recevez la newsletter"
"Search by keywords","Recherche par mots-clés"
"Learn more","En savoir +"
"More products","+ de produits"
"Please specify the product's option(s).","Spécifiez la ou les option(s) de produit."
"I have a gift certificate, enter code.","Saisir un code de réduction"
"Before calculating shipping cost","Avant calcul des frais de port"
"You will be redirected to the PayPal website when you place an order.","Vous allez être redirigé vers le site PayPal lorsque vous confirmerez votre commande."
"Order for","Commandez pour"
"more and get the free shipping (for delivery in France)","de plus et bénéficiez des frais de port gratuits (pour une livraison en France métropolitaine)"
"Back to the shop","retour à la boutique"
"Back to the range","retour à l'univers"
"Join us on","Rejoignez-nous sur"
"Talk to your friends about monbento","Parlez de monbento à vos amis"
"All the range","Toute la gamme"
"Your e-mail","Votre e-mail"
"Search a product","Rechercher un produit"
"clicking here","cliquant ici"
"A product not found? Contact us by","Un produit introuvable ? Donnez votre avis en"
"Monday > Friday - 4.30 PM > 7PM", "Lundi > Vendredi - 9h>12h / 14h>18h"
"Be notified when this product is available again","Être alerté lorsque cet article est de nouveau disponible"
"Enter code","Saisir le code"
"I have a gift certificate","Code de réduction"
"Top 5 products","Vous avez préféré"
"Read More", "Lire la suite"
"Older Posts", "Voir les posts plus anciens"
"Newer Posts", "Voir les posts plus récents"
"The payment has been voided.", "Le paiement a été annulssssssé."
"Payment was canceled.","Le paiemessssssnt a été annulé."
"The payment was canceled.","<p>Votre paiement CB a échoué, quelques raisons sont possibles :</p><br />
<ul>
<li>Saisie erronée des coordonnées bancaires.</li>
<li>Un plafond de paiement dépassé.</li>
<li>Problème technique relatif au lieu de connexion à Internet.</li>
</ul>
<br />
<p>Remarque : notre système de paiement en ligne entièrement sécurisé par la Banque Populaire. Même si votre paiement a échoué, vos informations bancaires restent confidentielles et totalement protégées.</p>
<br />
<p>Si vous souhaitez réessayer de valider votre commande par CB, retrouvez ci-dessous votre panier d’origine :
Pour toute assistance, n’hésitez pas à nous contacter sur contact@monbento.com ou par téléphone au N° indiqué en haut du site.</p>"
"&lt; Back to the website", "&lt; Retour au site"
"Post by", "Publié par"
"Only <strong>%s</strong> left", "Plus que <strong>%s</strong> en stock !"
"Search for", "Recherche pour"
"No results were found for your search", "Aucun résultat pour votre recherche"
"Best Selling","Meilleures ventes"
"Download the image of my creation","Télécharger la photo de ma création"
"Share my creation","Partager ma création"
"Color of the food cup","Couleur de la caissette"
"1 x food cup for MB Original in color of top container","1 x caissette pour MB Original de la couleur du récipient supérieur"
"Fedex - Free shipping", "Fedex - Frais de port offerts"
"If you order one or several Gift cards without other products, the shipping is offered. Your Gift cards will be sent by post to the address you choose.","Si vous commandez une ou plusieurs Cartes cadeaux sans autres produits, l’expédition vous est offerte. Votre ou vos Cartes cadeaux seront envoyées par courrier à l’adresse que vous indiquerez."
"Login", "Connexion"
"My Cart <strong>(%s)</strong>", "Mon panier <strong>(%s)</strong>"
"My Account", "Mon compte"
"Log Out", "Déconnexion",
"Cart content", "Contenu de votre panier"
"Home delivery","À votre domicile"
"Close to you","Près de chez vous"
"Amount","Montant"
"Delivery type","Mode d'envoi"
"By Email","Par e-mail"
"By Post","Par courrier"
"Custom message","Message de la carte"
"Sender Name","Nom de l'expéditeur"
"Sender Email","E-mail de l'expéditeur"
"From:","De la part de :"
"Send to:","Pour :"
