"Ajouter au panier","Aggiungi al carrello"
"Voir plus de produits","Vedi altri prodotti"
"Voir tous les produits","Vedi tutti i prodotti"
"Besoin d'aide ?","Bisogno d’aiuto?"
"Une question ?","Una domanda?"
"Consultez notre aide en ligne","Consultate il nostro aiuto in linea."
"Des nouveautés, des actus, des bons plans, des recettes ...","Novità, attualità, buone idee, ricette..."
"Tout ça rien que pour vous !","Un programma tutto per voi!"
"Partenaires et presse","Partner e stampa"
"La collection","La collezione"
"Changer de couleur","Cambiamento di colore"
"Faites découvrir à vos amis sur...","Fate scoprire ai vostri amici su..."
"Personnalisez votre MB Original","Personalizzate la vostra MB Original"
"Dimension et composition","Dimensione e composizione"
"L’adopter c’est...","Adottarla è ..."
"Vous faire encore plus plaisir","Farvi ancora più piacere"
"À partir de %s d'achat, la livraison est offerte","A partire da %s d’acquisto, la consegna è gratuita"
"En ce moment, ne manquez pas...","Da non perdere in questo momento ..."
"Première visite ?","Prima visita?"
"Déjà un compte ? Faites comme chez vous ...","Già iscritti? Fate come a casa vostra..."
"Pas encore de compte ? C'est l'affaire d'une minute ...","Non ancora iscritti? Basta un minuto..."
"Filtrer par couleur","Filtra mediante il colore"
"Victime de son succès !","Vittima del suo successo!"
"Recommencer","Ricomincia"
"Lancer un modèle aléatoire","Lancia un modello aleatorio"
"Télécharger","Download"
"La qualité, le design et la personnalisation <br>au coeur de la marque","LA QUALITÀ, IL DESIGN E LA PERSONALIZZAZIONE <br>NEL CUORE DEL MARCHIO"
"L'accent mis sur la qualité","L’accento è posto sulla qualità"
"Respect de l'ensemble des <strong>normes alimentaires</strong> internationales","Rispetto di tutte le <strong>norme alimentari</strong> internazionali "
"Produits garantis <strong>sans BPA</strong> conformément à la réglementation","Prodotti garantiti <strong>senza BPA</strong> in conformità ai regolamenti"
"<strong>Matières plastiques de très haute qualité</strong> : PBT (< Allemagne), Tritan&reg; (< USA) et PP","<strong>Utilizzo di materie plastiche di elevatissima qualità</strong> : PBT (< Germania), Tritan&reg; (< USA) e PP"
"<strong>Contrôles qualité</strong> réguliers réalisés par des organismes indépendants (Tuv, SGS...)","Regolari <strong>controlli qualità</strong> effettuati da organismi indipendenti (Tuv, SGS...)"
"<strong>Extension de garantie</strong> gratuite soit 3 ans de garantie au total","<strong>Estensione della garanzia</strong> gratuita ossia 3 anni di garanzia in tutto"
