"Action","Aktion"
":You will receive an email with the discount code you can use on your next order.",": Sie erhalten ein Mail mit Ihrem Gutschein-Code für den nächsten Einkauf."
"%s' is not a valid number.","%s' ist keine gültige Nummer."
"%s' is not an integer.","%s' ist keine Zahl."
"%s' is not greater than 0.","%s' ist nicht größer als 0."
"%s is already an email to our customers","%s ist bereits als Kundenadresse hinterlegt."
"%s points exchange for customer (%s)","Einlösung %s Punkte für Kunden (%s)"
"%s vouchers points exchange","Einlösung von %s Punkten aus Gutscheinen"
"<a href='%s'>%s</a>","<a href='%s'>%s</a>"
"A value is required.","Ein Wert ist erforderlich."
"Activated","Aktiviert"
"Active godsons:","Aktive Freundeswerbungen:"
"Add a change","Einlösung hinzufügen"
"Add a provider","Anbieter hinzufügen"
"Add a sponsorship","Freundeswerbung hinzufügen"
"Add an invitation","Einladung hinzufügen"
"Add recipients","Empfänger hinzufügen"
"Add recipients.","Empfänger hinzufügen"
"Address book provider:","Adressbuchanbieter:"
"Allow to send invitations to customers who have never ordered","Einladungsversand an Kunden ohne Bestellungen erlauben"
"Allows customers to import addressbook/contacts from different email providers like Yahoo, Gmail, Hotmail, Live etc. using different CMS software like Drupal, Joomla etc. or forum software like PHPBB, SMF etc. Learn more on <a href='http://openinviter.com'>openinviter.com</a>","Kunden den Import von Adressbüchern/Kontakten aus Yahoo, Gmail, Hotmail, Live etc. erlauben. Nähere Details unter: <a href='http://openinviter.com'>openinviter.com</a>"
"Amount of winning points for first order","Punktgewinn bei erster Bestellung"
"Amount of winning points for the first godson order","Punktgewinn bei erster Bestellung des Freundes"
"Amount of winning points when subscribe to newsletter on account creation","Punktgewinn für Abonnieren des Newsletters bei Kontoerstellung"
"An error occurred while saving your request.","Beim Speichern Ihrer Anfrage trat ein Fehler auf."
"An error occurred while sending mail.","Beim Versand Ihres/r Mails trat ein Fehler auf."
"An error occurred, the mail to %s could not be delivred.","Ein Fehler trat auf, Ihr Mail an %s konnte nicht zugestellt werden."
"An exception occured !","Ein Fehler trat auf!"
"And it ends as follows:","Mit folgender Endung:"
"Are you sure to process mass action?","Möchten Sie diese Massenaktualisierung wirklich vornehmen?"
"But it could not be saved.","Die Speicherung schlug jedoch fehl."
"Calculation period of the maximum allowed for an individual (days)","Berechnungsperiode des Maximalbetrags für einzelne Kunden (Tage)"
"Campany number","Firmennummer"
"Canceled","Storniert"
"Cash","Bar"
"cash","bar"
"Cash exchange enabled","Barablöse aktiviert"
"Change information","Einlösungsinformationen"
"Change your points into:","Punkte umtauschen in:"
"Check or uncheck all","Alle wählen/abwählen"
"Choose your provider","Wählen Sie Ihren Anbieter"
"Conversion rate of points in currency","Wechselkurs für Punkte zu Währung"
"coupon","Gutschein"
"Creation date","Erstellungsdatum"
"Credit fidelity points","Treuepunkte"
"Credit sponsor points","Werbungspunkte"
"Customer","Kunde"
"Customer ID","ID Kunde"
"Customer name","Name Kunde"
"Date","Datum"
"Date first invitation","Datum der ersten Einladung"
"Date last mail","Datum des letzten Mails"
"Dear %s %s,","Hallo %s %s,"
"Details","Details"
"Edit","Bearbeiten"
"Edition of the change '%s'","Einlösung '%s' bearbeiten"
"Edition of the invitation '%s'","Einladung '%s' bearbeiten"
"Edition of the Open inviter provider '%s'","Anbieter OpenInviter bearbeiten '%s'"
"Edition of the sponsorship '%s'","Freundeswerbung '%s' bearbeiten"
"Email missing !","Die E-Mail-Adresse fehlt!"
"Email Providers","Email-Provider"
"emptyResults","Leeres Resultat."
"Enter the cash you want.","Wählen Sie den gewünschten Betrag."
"Enter the points you want to convert.","Wählen Sie die einzulösenden Punkte."
"errorData","Eingabefehler"
"errorURL","Fehler URL"
"Exchange detail","Einlösungsdetails"
"Exchange of your %s points into %s","Einlösung Ihrer %s Punkte in %s"
"Exported","Exportiert"
"Fidelity","Treue"
"fidelity","treue"
"Fidelity and Sponsorship","Treuepunkte und Freundeswerbung"
"Fidelity balance:","Treuepunkte Stand:"
"Fidelity module activated","Treuepunkte-Modul aktiviert"
"Fidelity options","Treuepunkteoptionen"
"Fidelity points","Treuepunkte"
"Fidelity points by fixed amount","Treuepunkte nach fixem Betrag"
