"Action","Action"
":You will receive an email with the discount code you can use on your next order.",":You will receive an email with the discount code you can use on your next order."
"'%s' is not a valid number.","'%s' is not a valid number."
"'%s' is not an integer.","'%s' is not an integer."
"'%s' is not greater than 0.","'%s' is not greater than 0."
"%s is already an email to our customers","%s is already an email to our customers"
"%s points exchange for customer (%s)","%s points exchange for customer (%s)"
"%s sponsor points","%s sponsor points"
"%s vouchers points exchange","%s vouchers points exchange"
"<a href='%s'>%s</a>","<a href='%s'>%s</a>"
"A value is required.","A value is required."
"Accumulated mode options","Accumulated mode options"
"Activated","Activated"
"Active godsons:","Active godsons:"
"Add a change","Add a change"
"Add a provider","Add a provider"
"Add a sponsorship","Add a sponsorship"
"Add an invitation","Add an invitation"
"Add Recipient","Add Recipient"
"Add recipients","Add recipients"
"Add recipients.","Add recipients."
"Address book provider:","Address book provider:"
"Allow customers who have never ordered to send invitations","Allow customers who have never ordered to send invitations"
"Allow customers who have never ordered to send sponsorship invitations","Allow customers who have never ordered to send sponsorship invitations"
"Allow to sponsor registred customers (but never ordered)","Allow to sponsor registred customers (but never ordered)"
"Allows customers to import addressbook/contacts from different email providers like Yahoo, Gmail, Hotmail, Live etc. using different CMS software like Drupal, Joomla etc. or forum software like PHPBB, SMF etc. Learn more on <a href='http://openinviter.com'>openinviter.com</a>","Allows customers to import addressbook/contacts from different email providers like Yahoo, Gmail, Hotmail, Live etc. using different CMS software like Drupal, Joomla etc. or forum software like PHPBB, SMF etc. Learn more on <a href='http://openinviter.com'>openinviter.com</a>"
"Amount of winning points for first order","Amount of winning points for first order"
"Amount of winning points for the first godson order","Amount of winning points for the first godson order"
"Amount of winning points when subscribe to newsletter on account creation","Amount of winning points when subscribe to newsletter on account creation"
"An error occured while sending sponsor notification email.","An error occured while sending sponsor notification email."
"An error occurred while saving your request.","An error occurred while saving your request."
"An error occurred while sending mail.","An error occurred while sending mail."
"An error occurred, the mail to %s could not be delivred.","An error occurred, the mail to %s could not be delivred."
"An exception occured !","An exception occured !"
"And it ends as follows:","And it ends as follows:"
"Are you sure to process mass action?","Are you sure to process mass action?"
"Automatic discount in cart","Automatic discount in cart"
"Back","Back"
"But it could not be saved.","But it could not be saved."
"Calculation period of the maximum allowed for an individual (days)","Calculation period of the maximum allowed for an individual (days)"
"Campany number","Campany number"
"Canceled","Canceled"
"Cart exchange","Cart exchange"
"Cash","Cash"
"cash","cash"
"Cash exchange","Cash exchange"
"Cash exchange enabled","Cash exchange enabled"
"Change information","Change information"
"Change your points into:","Change your points into:"
"Check or uncheck all","Check or uncheck all"
"Choose your provider","Choose your provider"
"Conversion rate of points in currency","Conversion rate of points in currency"
"coupon","coupon"
"Coupon Email Template","Coupon Email Template"
"Coupon exchange","Coupon exchange"
"Creation date","Creation date"
"Customer","Customer"
"Customer ID","Customer ID"
"Customer name","Customer name"
"Date","Date"
"Date first invitation","Date first invitation"
"Date last mail","Date last mail"
"Dear %s %s,","Dear %s %s,"
"Details","Details"
"Edit","Edit"
"Edition of the change '%s'","Edition of the change '%s'"
"Edition of the invitation '%s'","Edition of the invitation '%s'"
"Edition of the Open inviter provider '%s'","Edition of the Open inviter provider '%s'"
"Edition of the sponsorship '%s'","Edition of the sponsorship '%s'"
"Email Address:","Email Address:"
"Email missing !","Email missing !"
"Email Providers","Email Providers"
"Email:","Email:"
"emptyResults","emptyResults"
