"My recipes","My recipes"
"Recipes","Recipes"
"My followers","My subscribers"
"followers","subscribers"
"Receipe","Recipe"
"receipe","recipe"
"receipes","recipes"
"Submit receipe","Submit recipe"
"Rejoignez-nous","Join us"
"Suivez-nous","Follow us"
"Restez informé des actualités monbento","Keep in touch with monbento news"

"Continuez votre inscription","Proceed registration"
"msg_after_guest_order","You ordered as a guest, complete your registration by tapping a password. An email will be sent the adress you entered during the ordering."
"Mot de passe","Password"
"Confirmez votre mot de passe","Confirm password"
"Terminer mon inscription","Complete registration"
" (Out of area)", "Your delivery address is considered "difficult to access" by our carrier. Consequently a 20$ ex-VAT supplement has been added to your delivery charges. For any additional information, please refer to the delivery page."
