"Action","Action"
"An error occurred while writing to the backup file ""%s"".","An error occurred while writing to the backup file ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Backup file ""%s"" cannot be read from or written to."
"Backup file ""%s"" does not exist.","Backup file ""%s"" does not exist."
"Backup file does not exist.","Backup file does not exist."
"Backup file handler was unspecified.","Backup file handler was unspecified."
"Backup file path was not specified.","Backup file path was not specified."
"Backups","Backups"
"Cannot read backup file.","Cannot read backup file."
"Create Backup","Create Backup"
"DB","DB"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Download"
"Size,"Size
"The file was compressed with Zlib,"The file was compressed with Zlib
"Time","Time"
"Type","Type"
"Unable to create backup. Please,"Unable to create backup. Please
"Wrong order of creation for new backup.","Wrong order of creation for new backup."
