"The parcel is too heavy for this shipping method","The parcel is too heavy for this shipping method"
"The shipping method doesn't cover the zone","The shipping method doesn't cover the zone"
"Error in the configuration of the shipping method","Error in the configuration of the shipping method"
"{configuration_syntax_help}","{configuration_syntax_help}"
"Display when unavailable","Display when unavailable"
"Configuration","Configuration"
"Tracking URL","Tracking URL"
"Stop to first match","Stop to first match"
"Overwrite value for all shipping methods of Owebia Shipping module","Overwrite value for all shipping methods of Owebia Shipping module"
"Owebia Shipping module","Owebia Shipping module"
"Weight unit","Weight unit"
"By destination zone and by weight","By destination zone and by weight"
"By destination zone and by price","By destination zone and by price"
"By destination zone and by item","By destination zone and by item"
"The order amount is too high for this shipping method","The order amount is too high for this shipping method"
"There is too many items for this shipping method","There is too many items for this shipping method"
"items","items"
"Display weight","Display weight"
"Display weight when null","Display weight when null"
"Active when weight null","Active when weight null"
"Use amount with tax","Use amount with tax"
"The shipping method isn't available with this cart amount","The shipping method isn't available with this cart amount"
"track the package","track the package"
"The cart doesn't match prices range (%s,"The cart doesn't match prices range (%s
"The cart doesn't match weights range (%s,"The cart doesn't match weights range (%s
"The shipping method doesn't cover the zone (%s)","The shipping method doesn't cover the zone (%s)"
"Prices range error (%s)","Prices range error (%s)"
"Weights range error (%s)","Weights range error (%s)"
"No match found","No match found"
"Configuration disabled","Configuration disabled"
"Error in the fees formula","Error in the fees formula"
