"Action","Acción"
":You will receive an email with the discount code you can use on your next order.",": Usted recibirá un correo electrónico con el código de descuento que puede utilizar en su próximo pedido."
"%s is already an email to our customers","%s está ya preparado un email para nuestros clientes"
"%s points exchange for customer (%s)","%s puntos a cambiar por el cliente (%s)"
"%s vouchers points exchange","%s intercambio de puntos de bonos (vales)"
"%s' is not a valid number.","%s' no es un número válido."
"%s' is not an integer.","%s' no es un entero."
"%s' is not greater than 0.","%s' no es mayor que 0"
"<a href='%s'>%s</a>","<a href='%s'>%s</a>"
"A value is required.","Un valor es requerido."
"Activated","Activado"
"Active godsons:","Ahijados activos:"
"Add a change","Agregar un cambio"
"Add a provider","Añadir un proveedor"
"Add a sponsorship","Agregar Patrocinio"
"Add an invitation","Agregar una Invitación"
"Add recipients","Añadir destinatarios"
"Address book provider:","Proveedor de la libreta de direcciones:"
"Allow to send invitations to customers who have never ordered","Permitir el envίo de invitaciones a clientes que nunca han hecho un pedido"
"Allows customers to import addressbook/contacts from different email providers like Yahoo, Gmail, Hotmail, Live etc. using different CMS software like Drupal, Joomla etc. or forum software like PHPBB, SMF etc. Learn more on <a href='http://openinviter.com'>openinviter.com</a>","Permite a los clientes importar la libreta de direcciones / contactos de diferentes proveedores de correo electrónico como Yahoo, Gmail, Hotmail, etc Live por medio de diferentes software de CMS como Drupal, Joomla, etc o software para foros como PHPBB, SMF, etc Más información en <a href='http://openinviter.com'>openinviter.com</a>"
"An error occurred while saving your request.","Se produjo un error al guardar su solicitud. "
"An error occurred while sending mail.","Se produjo un error al enviar el correo."
"An error occurred, the mail to %s could not be delivred.","Ocurrió un error. El correo para %s no pudo enviarse."
"An exception occured !","¡Ocurrió una excepción! "
"And it ends as follows:","Y termina de la siguiente manera: "
"Are you sure to process mass action?","¿Estás seguro de procesar la acción masiva? "
"But it could not be saved.","Pero no ha podido guardarse"
"Calculation period of the maximum allowed for an individual (days)","Periodo de cálculo del máximo permitido para un usuario (dίas)"
"Campany number","SIRET"
"Canceled","Cancelado"
"Cash","Caja"
"cash","Caja"
"Cash exchange enabled","Cambio de caja habilitado"
"Change information","Información de cambio"
"Change your points into:","Canjee sus puntos:"
"Check or uncheck all","Marcar o Desmarcar todo"
"Choose your provider","Selecciones su proveedor"
"Conversion rate of points in currency","Ratio de conversión de puntos en moneda"
"coupon","cupón"
"Creation date","Dίa de creación"
"Credit fidelity points","Crédito puntos de fidelidad"
"Credit sponsor points","Crédito puntos de patrocinio"
"Customer","Cliente"
"Customer ID","ID de cliente"
"Customer name","Nombre del cliente"
"Date","Dίa de creación"
"Date first invitation","Dίa de la primera invitación"
"Date last mail","Dίa del último correo"
"Dear %s %s,","Estimado %s %s,"
"Details","Detalles"
"Edit","Editar"
"Edition of the change '%s'","Edición del cambio '%s'"
"Edition of the invitation '%s'","Edición de la invitación '%s'"
"Edition of the Open inviter provider '%s'","Edición del proveedor de Open Inviter '%s'"
"Edition of the sponsorship '%s'","Edición del patrocinio '%s'"
"Email missing !","¡Falta la dirección de correo!"
"Email Providers","Proveedores de correo"
"emptyResults","Resultados vacίos"
"Enter the cash you want.","Indique el efectivo que desea."
"Enter the points you want to convert.","Indique los puntos que quiere convertir."
"errorData","Error de datos"
"errorURL","Error de URL"
"Exchange detail","Detalles del cambio"
"Exchange of your %s points into %s","Intercambio de puntos de su% s en% s "
"Exported","Exportado"
"Fidélité","Fidelidad"
"Fidelity","Fidelidad "
"fidelity","fidelidad "
"Fidelity and Sponsorship","Fidelidad y Patrocinio"
"Fidelity balance:","Balance de Fidelidad:"
"Fidelity module activated","Módulo de Fidelidad activado"
"Fidelity options","Opciones de fidelidad"
"Fidelity points","Puntos de fidelidad"
"Fidelity points by fixed amount","Puntos de fidelidad por cantidad fija"
"Fidelity points by fixed amount for whole cart","Puntos de fidelidad por cantidad fija para la totalidad del carro"
"Fidelity points by percentage of the original price","Puntos de fidelidad por porcentaje del precio original"
"Fidelity points:","Puntos de fidelidad:"
"filterLabel","Filtro de la columna"
"First name","Primer nombre:"
"First name:","Primer nombre:"
"gift","regalo"
"Gift exchange enabled","Intercambio de regalo habilitado"
"Gifts","Regalos"
"Godson","Ahijados"
"Godson ID","ID del Ahijado"
"Godson name","Nombre del ahijado"
"Guest first name","Primer nombre del invitado"
"Guest last name","Apellidos del invitado"
"Guest mail","Dirección de correo del invitado"
"Guest name","Nombre del invitado"
"IBAN","IBAN"
"ID","ID"
"Import Contacts","Importar contactos"
"Import selected contacts","Importar contactos seleccionados"
"Inactivity time before removal of the sponsorship link (days)","Tiempo de inactividad antes de retirar el enlace de patrocinio (dίas) "
"Invalid IBAN code ""%s""","El código IBAN ""%s"" es inválido"
"Invitation detail","Detalles de la invitación"
"Invitation does not exist","La invitación no existe"
"Invitation information","Información de la invitación"
"Invitation to %s","Invitar a %s"
"Invitation was successfully saved","La invitación se guardó correctamente"
"Invitations list","Lista de invitados"
"Last name","Apellidos"
"Last name:","Apellidos:"
"Last order date","Fecha del último pedido"
"Listing date","Fecha de inscripción"
"loading","carga"
"Login failed. Please check the email and password you have provided and try again later !","¡Identificación fallida. Por favor comprube la dirección de correo y contraseña facilitados e inténtelo más tarde!"
"Max invitations","Número máximo de invitaciones"
"Maximum amount permitted without company number","Cantidad máxima permitida sin número de compañίa"
"Maximum levels of sponsorship","Número máximo de niveles de patrocinio "
"Message","Mensaje"
"Module","Módulo"
"Number of sponsorships","Número de patrocinios"
"Once you will have points, you can change them into:","Una vez que tenga puntos, los puede cambiar en:"
"Open inviter providers","Proveedor de Open Inviter"
"Or add recipient manually.","O añada los destinatarios de forma manual."
"paginationFirst","Primera"
"paginationLast","última"
"paginationNext","Siguiente"
"paginationOf"," de "
"paginationPages","página(s)"
"paginationPrev","Anterior"
"Parrainage","Patrocinio"
"Password missing !","¡Falta la contraseña!"
"Please check the form fields.","Por favor, compruebe los campos del formulario."
"Please enter the full email, not just the username","Por favor introduzca la dirección de correo completa, no sólo el nombre de usuario"
"Please select changes","Por favor seleccione la moneda"
"Points","Puntos"
"Points exchanges list","Lista de puntos de intercambio"
"Points to exchange:","Puntos a cambiar"
"Principles of Sponsorship","Principios de Patrocinio"
"Provider detail","Detalles del proveedor"
"Provider missing !","¡Falta el proveedor!"
"Provider was successfully deleted","El proveedor fue borrado con éxito"
"Provider was successfully saved","El proveedor fue guardado con éxito"
"Ratio applied from level 2 to calculate the points of the sponsor (in percentage)","Ratio aplicada del nivel 2 al calcular los puntos del patrocinador (en porcentaje) "
"Recall","Recuperación"
"Recall %s %s","Recuperados %s de %s"
"Recipients:","Destinatarios:"
"Recovery date","Fecha de recuperación"
"Related ID","ID del Prescriptor"
"Related mail","Email del Prescriptor"
"Related name","Nombre del Prescriptor"
"searchLabel","Etiqueta de Búsqueda"
"Select recipients from your address book:","Seleccione destinatarios desde su libreta de direcciones:"
"Select recipients from your address book.","Seleccione destinatarios desde su libreta de direcciones."
"Select your provider and sign in:","Seleccione su proveedor y firme:"
"Social Networks","Redes Sociales"
"Solved","Resuelto"
"Special Rate","Ratio Especial"
"Sponsor","Sponsor"
"sponsor","Sponsor"
"Sponsor friends","Patrocinadores Amigos"
"Sponsor ID","ID del Sponsor"
"Sponsorship","Patrocinio"
"Sponsorship balance:","Balance del Patrocinio:"
"Sponsorship coupon","Cupón del patrocinio"
"Sponsorship date","Fecha del patrocinio"
"Sponsorship detail","Detalle del patrocinio"
"Sponsorship information","Información del patrocinio"
"Sponsorship invitation","Invitación de patrocinio"
"Sponsorship mail options","Opciones de correo del patrocinio"
"Sponsorship module activated","Módulo de patrocinio activado"
"Sponsorship options","Opciones de patrocinio"
"Sponsorship points","Puntos de patrocinio"
"Sponsorship points by fixed amount","Puntos de patrocinio por cantidad fija"
"Sponsorship points by fixed amount for whole cart","Puntos de patrocinio por cantidad fija para el total del carrito"
"Sponsorship points by percentage of the original price","Puntos de patrocinio por porcentaje del precio original"
"Sponsorship points:","Puntos de patrocinio:"
"Sponsorship was successfully saved","El patrocinio se ha guardado correctamente"
"Sponsorships list","Lista de patrocinios"
"Status","Estatus"
"Subject:","Asunto:"
"The change has been successfully recorded","El cambio ha sido registrado con éxito"
"The exchange of %s points in %s is disabled.","El cambio de %s puntos en %s está desactivado."
"The gifts exchange is not yet implemented.","El intercambio de regalos no se ha implementado aún."
"This change doesn't exist","Este cambio no existe."
"This sponsorship doesn't exist","El patrocinio no existe"
"Time to send it automatically (days)","Tiempo para enviarlo automáticamente (días)"
"Time validity invitations (days)","Tiempo de validez de las invitaciones (días)"
"To change more cash, you must specify a company number.","Para cambiar más efectivo debe especificar una compañía"
"To change your points into cash, you must indicate your IBAN.","Para convertir sus puntos en efectivo, debe especificar su código IBAN."
"Type","Tipo"
"Unable to find change to save","No se puede encontrar el cambio a guardar"
"Unable to find invitation to save","No se pudo encontrar la invitación a guardar"
"Unable to find sponsorship to save","No se puede encontrar el patrocinio a guardar"
