"Visibility on Frontend", "Groupe visible sur le Front"
"Add Subscribers emails", "EMails des abonnés"
"Add Subscribers to Group", "Ajouter des abonnés au groupe"
"Newsletter Users Groups", "Groupes d'abonnés"
"Subscribers in Group", "Abonnés dans le groupe"
"Selected Subscribers will be deleted from Group after save", "Les abonnés sélectionnés seront effacés du groupe après la sauvegarde"
"Item was successfully saved", "Le groupe a été sauvegardé"
"Create Time", "Ajouté le"
"Add Item", "Ajouter un Groupe"
"Save And Continue Edit", "Sauvegarder et continuer à éditer"
"Save Item", "Sauvegarder"
"Delete Item", "Supprimer"
"Newsletter Groups", "Groupes d'abonnés Newsletter"
"Edit Item '%s'", "Edition du groupe '%s'"
"Template for Subscribers Group", "Template pour le groupe"
"Newsletter for Subscribers Group", "Newsletter pour le groupe"
