"Store does not exist","Le magasin n'existe pas"
"An error occured","Une erreur a eu lieu"
"Non member","Non membre"
"Member 1","Membre 1"
"Member 2","Membre 2"
"VIP","VIP"
"Taster","Goûteur"
"Apprentice","Apprenti"
"Cook","Second"
"Chef","Chef"
"%s liked your %s","%s a aimé ton %s"
"%s is following you","%s te suit",""
"%s users commented your %s","%s personnes ont commenté ta %s"
"photo","photo"
"photos","photos"
"receipe","recette"
"category","catégorie"
"Not logged in","Tu n'es pas connecté"
"Unknown customer","Utilisateur inconnu"
"No Store set","Magasin introuvable"
"Invalid Store","Magasin invalide"
"Product has been added to cart","Le produit a été ajouté au panier"
"Coupon error","Erreur lors de l'ajout du coupon"
"You cannot apply a coupon on an empty cart","Tu ne peux pas appliquer un code promo sur un panier vide"
"Unable to get followers","Impossible de récupérer les followers"
"You cannot follow this user","Tu ne peux pas follower cette personne"
"You must have a nickname","Tu dois saisir un pseudo"
"You must have a nickname and a profile image to access the club","Tu dois saisir un pseudo et un avatar pour accéder au club"
"You must have a nickname and a profile image to post elements on the club","Tu dois saisir un pseudo et un avatar pour poster sur le club"
"You must be logged in to post elements on the club","Tu dois être connecté pour poster sur le club"
"You must be logged in to post a comment on the club","Tu dois être connecté pour poster un commentaire sur le club"
"Your profile is successfuly registered","Ton profil est enregistré"
"Following","Abonné"
"Follow","S'abonner"
"Please complete your profile","Merci de compléter ton profil"
"Cannot connect to Facebook",""
"Error while connecting","Erreur lors de la connexion"
"Map","Carte"
"News","Flux d'actualités"
"News feed","Flux d'actualités"
"My subscriptions","Mes abonnements"
"My followers","Mes abonnés"
"My likes","Mes likes"
"My recipes","Mes recettes"
"My recipes","Mes recettes"
"My photos","Mes photos"
"My pepites","Mes pépites"
"Profile","Profil"
"Photos","Photos"
"News","Actus"
"Recipes","Recettes"
"Videos","Videos"
"Please complete your profile before accessing the club","Renseignes ton profil afin d'acceder au Club"
"Choose a duration type","Choisissez une durée"
"minutes","minutes"
"hours","heures"
"%s second ago","il y a %s seconde"
"%s seconds ago","il y a %s secondes"
"%s minute ago","il y a %s minute"
"%s minutes ago","il y a %s minutes"
"%s hour ago","il y a %s heure"
"%s hours ago","il y a %s heures"
"%s day ago","il y a %s jour"
"%s days ago","il y a %s jours"
"%s month ago","il y a %s mois"
"%s months ago","il y a %s mois"
"%s year ago","il y a %s an"
"%s years ago","il y a %s ans"
"Unknown user","Utilisateur inconnu"
"Image type is not allowed","Le type d'image n'est pas autorisé"
"You are not allowed to delete this element","Tu n'as pas l'autorisation de supprimer cet élément"
"No image was sent","Aucune image n'a été envoyée"
"Comment registered","Ton commentaire a été enregistré"
"Please complete your profile to comment","Complètes ton profil afin de pouvoir commenter"
"This element cannot be added","Impossible d'ajouter cet élément"
"You have a %s coupon (%spts)","Tu possèdes un coupon de %s (%spts)"
"Exchange","Échanger"
"Profile information","Informations du profil Clubento"
"Club image","Avatar"
"Club nickname","Pseudo"
"Delete image","Supprimer mon avatar"
"* Required Fields","Champs obligatoires"
"Back to dashboard","Retour au tableau de bord"
"Save profile","Enregistrer mon profil"
"Edit profile informations","Modifier mes informations Clubento"
"Choose file","Choisir un fichier"
"Website URL","URL de ton site internet"
"Upload not allowed, please upgrade your device","Le chargement d'images n'est pas autorisé, met à jour ton mobile"
"Please complete your profile","Merci de compléter ton profil"
