"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"* Required Fields","* Champs obligatoires"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Condition","Ajouter une condition"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'envies"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> sur %s"
"After Adding a Product Redirect to Shopping Cart","Rediriger vers le panier après l'ajout d'un produit"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Already registered?","Vous avez déjà un compte?"
"An error occurred in the process of payment","Une erreur est survenue dans le process de paiement"
"An error occurred while deleting this condition.","Erreur lors de la suppression de cette condition."
"An error occurred while saving this condition.","Erreur lors de la sauvegarde de cette condition."
"Apply Coupon","Utiliser un bon de réduction"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr de vouloir retirer cet article du panier ?"
"Back","Retour"
"Back to Billing Information","Retour aux informations de facturation"
"Back to Select Addresses","Retour à la sélection d'adresses"
"Back to Shipping Information","Retour aux informations de livraison"
"Back to Shopping Cart","Retour au panier"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, les articles suivants pourraient vous intéresser :"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Cancel Coupon","Annuler le bon de réduction"
"Cannot add item to the shopping cart.","Impossible d'ajouter l'article au panier."
"Cannot add the item to shopping cart","Impossible d'ajouter l'article au panier."
"Cannot add the item to shopping cart.","Impossible d'ajouter l'article au panier."
"Cannot apply the coupon code.","Impossible d'appliquer le coupon de réduction."
"Cannot open the overview page","Impossible d'ouvrir la page de résumé."
"Cannot remove the item.","Impossible d'enlever l'article."
"Cannot update shopping cart.","Impossible de mettre à jour le panier."
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Cart Subtotal:","Sous-total du panier :"
"Change","Modifier"
"Change Billing Address","Modifier l'adresse de facturation"
"Checkbox Text","Texte de la case à cocher"
"Checkout","Régler mes achats"
"Checkout Conditions","Conditions de commande"
"Checkout Method","Mode de commande"
"Checkout Options","Options de règlement"
"Checkout Section","Section règlement"
"Checkout Terms and Conditions","Conditions générales de ventes"
"Checkout as Guest","Régler en tant qu'invité"
"Checkout as a Guest or Register","Régler en tant qu'invité ou s'enregistrer"
"Checkout with Multiple Addresses","Livrer à plusieurs adresses"
"City","Ville"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target=\'_blank\'"">ici pour imprimer</a> une copie de votre confirmation de commande."
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats."
"Close","Fermer"
"Company","Société"
"Condition Name","Nom de la condition"
"Configurable Product Image","Image de produit configurable"
"Confirm Password","Confirmer le mot de passe"
"Content","Contenu"
"Content Height","Hauteur du contenu"
"Content Height (css)","Hauteur du contenu (CSS)"
"Continue","Poursuivre"
"Continue Shopping","Continuer vos achats"
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Continue to Review Your Order","Poursuivre pour vérifier votre commande"
"Continue to Shipping Information","Poursuivre vers les informations de livraison"
"Country","Pays"
"Coupon code ""%s"" is not valid.","Le code de réduction ""%s"" n'est pas valide."
"Coupon code ""%s"" was applied.","Le coupon de réduction ""%s"" a été appliqué."
"Coupon code was canceled.","Le coupon de réduction a été annulé."
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Data saving problem","Problème lors de la sauvegarde des données"
"Default Billing","Facturation par défaut"
"Default Shipping","Livraison par défaut"
"Delete Condition","Supprimer la condition"
"Details","Détails"
"Disabled","Désactivé"
"Discount Codes","Codes de remises"
"Display Cart Summary","Afficher le résumé du panier"
"Display Shopping Cart Sidebar","Afficher la barre latérale du panier"
"Display item quantities","Afficher la quantité totale d'articles dans le panier"
"Display number of items in cart","Afficher le nombre de produits différents dans le panier"
"Easy access to your order history and status","Consultez et suivez vos commandes"
"Edit","Éditer"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Items","Modifier les articles"
"Edit Shipping Address","Éditer l'adresse de livraison"
"Edit Terms and Conditions","Éditer les conditions générales de ventes"
"Edit Your Cart","Modifiez votre panier"
"Email Address","Adresse email"
"Enable Onepage Checkout","Activer le passage de commande en une seule page"
"Enable Terms and Conditions","Activer les conditions générales de vente"
"Enabled","Activé"
"Enter a New Address","Saisir une nouvelle adresse"
"Enter your coupon code if you have one.","Saisissez votre code de réduction"
"Enter your destination to get a shipping estimate.","Choisissez votre destination pour estimer les frais de port"
"Estimate Shipping and Tax","Estimer la livraison et la TVA"
"Excl. Tax","HT"
"Fast and easy check out","Commander plus vite et plus facilement"
"Fax","Fax"
