"%s","%s"
"%s already exists","%s existe déjà"
"%s already exists.","%s existe déjà."
"-- Please Select --","-- Votre choix --"
"A category object is required for determining the product request path.","Un objet catégorie est obligatoire pour déterminer le chemin de requête du produit."
"Add Block Names to Hints","Ajouter les noms des blocs aux astuces"
"Add Secret Key to URLs","Ajouter une clé secrète aux URLs"
"Add Store Code to Urls","Ajouter le code du magasin aux URLs"
"Admin","Admin"
"Admin Base URL","URL de base de l'admin"
"Admin User Emails","Emails de l'administrateur"
"Advanced","Avancé"
"Allow Countries","Pays autorisés"
"Allowed IPs (comma separated)","IPs autorisées (séparées par des virgules)"
"Allows customers to stay logged in when switching between different stores.","Permet aux clients de rester connectés s'ils basculent entre les différentes boutiques."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texte alternatif pour le lien « suivant » dans le menu de pagination. Si vous le laissez vide, c'est la flêche par défaut qui sera utilisée."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texte alternatif pour le lien « précédent » dans le menu de pagination. Si vous le laissez vide, c'est la flêche par défaut qui sera utilisée."
"An error occurred while saving. Please review the error log.","Erreur lors de la sauvegarde. Vérifiez les logs."
"Anchor Text for Next","Texte d'ancrage pour Suivant"
"Anchor Text for Previous","Texte d'ancrage pour Précédent"
"Are you sure?","Êtes-vous sûr ?"
"Back","Retour"
"Backup Options","Options de sauvegarde"
"Base JavaScript URL","URL de base Javascript"
"Base Link URL","URL de base lien"
"Base Media URL","URL de base Media"
"Base Skin URL","URL de base habillage"
"Base URL","URL de base"
"Before modifying the store view code please make sure that it is not used in index.php.","Avant de modifier le code de vue magasin, assurez-vous qu'il n'est pas utilisé dans le fichier index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Avant de modifier le code de site web, assurez-vous qu'il n'est pas utilisé dans le fichier index.php."
"Block with name ""%s"" already exists","Un bloc portant le nom ""%s"" existe déjà"
"Browser Capabilities Detection","Détection des capacités du navigateur"
"CSS Settings","Paramètres CSS"
"Cache Storage Management","Gestion du cache"
"Cache storage may contain another data. Are you sure that you want flush it?","Le stockage de cache peut contenir d\'autres données. Êtes-vous sûr de vouloir le purger ?"
"Can't retrieve request object","Impossible de récupérer l'objet de requête"
"Cancel","Annuler"
"Cannot complete this operation from non-admin area.","Impossible d'accomplir cette opération en dehors de la section d'admin."
"Cannot retrieve entity config: %s","Impossible de retrouver la configuration de l'entité : %s"
"Card type does not match credit card number","Le type de carte ne correspond pas au numéro de carte."
"Code","Code"
"Controller file was loaded but class does not exist","Le fichier de controller a été chargé mais la classe n'existe pas"
"Cookie Domain","Domaine du cookie"
"Cookie Lifetime","Durée de vie des cookies"
"Cookie Path","Chemin du cookie"
"Copyright","Copyright"
"Countries Options","Options de pays"
"Create Store","Créer un magasin"
"Create Store View","Créer une vue magasin"
"Create Website","Créer un site web"
"Credit card number does not match credit card type","Le numéro de carte ne correspond pas au type de carte."
"Current Package Name","Nom de l'interface"
"Custom Admin URL","URL d'admin personnalisé"
"Custom Design","Habillage personnalisé"
"Custom Email 1","Email personnalisé 1"
"Custom Email 2","Email personnalisé 2"
"Custom Variables","Variables Personnalisées"
"Customer Support","Support client"
"Date From","Entre le"
"Date To","et le"
"Date/time format ""%s"" is not supported.","Le format de date/heure ""%s"" n'est pas supporté."
"Debug","Déboguage"
"Default","Par défaut"
"Default Country","Pays par défaut"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Default No-route URL","URL par défaut de page non trouvée"
"Default Pages","Pages par défaut"
"Default Robots","Robots par défaut"
"Default Store","Magasin par défaut"
"Default Store View","Vue magasin par défaut"
"Default Title","Titre par défaut"
"Default Web URL","URL web par défaut"
"Delete","Supprimer"
"Delete Store","Supprimer le magasin"
"Delete Store View","Effacer la vue magasin"
"Delete Website","Supprimer le site web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Effacer un %1$s n'effacera pas les informations associées avec le %1$s (par ex. catégories, produits, etc.), mais il ne sera pas possible de restaurer le %1$s. Nous vous suggérons de créer une sauvegarde de la base de données avant d'effacer le %1$s."
"Design","Habillage"
"Design Change","Changement d'habillage"
"Developer","Développeur"
"Developer Client Restrictions","Restrictions client développeur"
"Disable Email Communications","Désactiver les envois d'email"
"Disable Modules Output","Désactiver la sortie des modules"
"Display Demo Store Notice","Afficher le message d'avertissement de boutique de démo"
"Duplicate Of Template Name","Duplication du nom de gabarit"
"Edit Design Change","Éditer le changement d'habillage"
"Edit Store","Modifier le magasin"
"Edit Store View","Éditer la vue magasin"
"Edit Website","Modifier le site web"
"Empty identifier field name","Vider le nom du champ d'identifiant"
"Empty main table name","Nom de table principale vide"
"Enable Prototype Deprecation Log","Activer le log de dépréciation Prototype"
"Enabled","Activé"
"Enabled for Admin","Activée pour l'admin"
"Enabled for Frontend","Activée pour le frontend"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"Error: Passwords do not match","Erreur : les mots de passe sont différents"
"Exceptions Log File Name","Nom du fichier de log d'exceptions"
"First Day of Week","Premier jour de la semaine"
"Flush Cache Storage","Purger le stockage du cache"
"Flush Magento Cache","Purger le cache Magento"
"Footer","Pied de page"
"Forgot Password Email Sender","Expéditeur du mail d'oubli de mot de passe"
"Forgot Password Email Template","Gabarit du mail d'oubli de mot de passe"
"General","Général"
"General Contact","Contact général"
"General Settings","Paramètres généraux"
"Global","Global"
"HTML Head","En-tête HTML"
"Header","En-tête"
"Host","Serveur"
"How many links to display at once.","Nombre de liens à afficher à la fois."
"ID Path for Specified Store","Identifiant de chemin pour le magasin spécifié"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Si la trame de pagination ne couvre pas les pages aux extrémités, Magento affichera les liens vers la page en cours plus ou moins la valeur ci-dessus."
"Incorrect credit card expiration date","Date d'expiration de carte incorrecte"
"Invalid base url type","Type d'URL de base invalide"
"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s : %s"
"Invalid block type: %s","Type de bloc non valide : %s"
"Invalid block: %s","Bloc non valide : %s"
"Invalid layout update handle","Manipulation de mise à jour de l'agencement non valide"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages d'agencement"
"Invalid transactional email code: ","Code d'email transactionnel invalide :"
"Invalid website\'s configuration path: %s","Chemin de configuration de site web invalide : %s"
"JavaScript Settings","Paramètres JavaScript"
"Layout","Agencement"
