"API Login ID","ID de connexion de l'API"
"Accepted Currency","Devise acceptée"
"Authorize Only","Autorisation seulement"
"Authorize and Capture","Autorisation et collecte"
"Authorize.net","Authorize.net"
"Credit Card Types","Types de cartes bancaires"
"Credit Card Verification","Vérification de carte de paiement"
"Debug","Déboguage"
"Email Customer","Envoyer un email au client"
"Enabled","Activé"
"Error in capturing the payment.","Erreur lors de la capture du paiement."
"Error in payment gateway.","Erreur sur la passerelle de paiement"
"Error in refunding the payment.","Erreur lors du remboursement."
"Gateway error: %s","Erreur de la passerelle : %s"
"Invalid amount for authorization.","Montant invalide pour autorisation."
"Invalid transaction ID.","Identifiant de transaction invalide."
"Maximum Order Total","Montant maxi de commande"
"Merchant's Email","Email du commerçant"
"Minimum Order Total","Montant mini de commande"
"New Order Status","Nouveau statut de la commande"
"Payment Action","Action de paiement"
"Payment authorization error.","Erreur d'autorisation de paiement."
"Payment authorization transaction has been declined.","La transaction de paiement a été refusée."
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Sort Order","Ordre de tri"
"Test Mode","Mode de test"
"Title","Titre"
"Transaction Key","Clé de la transaction"
