"2-pixel perimeter around the header space.","Périmètre de 2 pixels autour de l'espace d'en-tête"
"3D Secure","3D Secure"
"3D Secure Card Validation","Validation carte 3D Secure"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Créez un compte PayPal Marchand !</a>"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">See Demo</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Créez un compte PayPal Marchand !</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">Voir la démo</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Une valeur est exigée pour le mode en direct. Référez-vous à votre accord cardinal de commerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Dépôt d'ACH (prise pour le conflit ou toute autre recherche)"
"ACH Deposit (Reversal)","Dépôt d'ACH (inversion)"
"ACH Funding for Funds Recovery from Account Balance","Placement d'ACH pour le rétablissement de fonds de l'équilibre de compte"
"ACH Withdrawal","Retrait d'ACH"
"API Password","Mot de passe API"
"API Signature","Signature API"
"API Username","Pseudo API"
"API Uses Proxy","API utilisant un Proxy"
"API/Integration","API/Intégration"
"API/Integration Settings","API/Paramètre Intégration"
"Ability for buyer to purchase without PayPal account.","Capacité pour l'acheteur d'acheter sans compte PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Accepter les paiements PayPal dans votre panier. PayPal traite vos paiements par carte bancaire via la passerelle Payflow Pro."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Acceptez les paiements sans que les clients de quitter votre site.Beaucoup de services web et de caddies viennent avec la passerelle de paiement de Payflow incorporés, ainsi il est plus facile de les installer."
"Acceptance Mark","Marque d'acceptation"
"Acceptance Mark Image","Image de marque d'acceptation"
"Account-to-Account Payment, initiated by PayPal","Paiement de Compte à compte, initié par PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Ajoutez un bouton exprès de contrôle à votre caddie existant pour des paiements par carte de crédit rapides et faciles. PayPal effectue tout le traitement de paiement."
"Additional Options","Options additionnelles"
"Address Verification System Response","Adresse du système de vérification de réponse"
"All the address information matched","Vérification de toutes les informations de l'adresse"
"Allow in Billing Agreement Wizard","Laisser dans l'Assistant l'Accord de facturation"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valeurs acceptées : ""paypal"", ""primaire"" (par défaut), votre_valeur_personnalisée (page de paiement personnalisée pour votre profil de compte marchand)"
"Allowed Credit Card Types","Types de cartes de crédit autorisées"
"Also affects mini-shopping cart.","Affecte également le panier de mini-achats."
"Api/Integration","Api/Intégration"
"Ask Customer","Demandez au client"
"Attempted Authentication, Bad Result","Tentative d'authentification. Mauvais résultat"
"Attempted Authentication, Good Result","Tentative d'authentification. Bon résultat"
"Auction Payment other than through eBay","Paiement des enchères autres que par le biais d'eBay"
"Authenticated, Bad Result","Authentifié. Mauvais résultat"
"Authenticated, Good Result","Authentifié. Bon résultat"
"Authorization","Autorisation"
"Authorization expired.","Autorisation expirée"
"Authorization transaction is required to void.","Transaction d'autorisation nécessaire pour annuler."
"Authorization was voided by merchant.","L'autorisation a été annulée par le marchand"
"Authorize and Capture","Autorisation et collecte"
"Auto","Auto"
"AutoSweep","Champ automatique"
"Available Balance","Solde disponible"
"Balance Manager Account Bonus","compte de gestion de la balance bonus"
"Billing Address","Adresse de facturation"
"Billing Agreement Signup ","Engagement d'accord de facturation "
