"The customer doesn\'t exist in the system anymore","Le client n\'existe plus dans le système"
"""%s"" coupon code is not valid.","Le bon de réduction ""%s"" n'est pas valide."
"%s","%s"
"%s / %s rate:","Taux %s / %s :"
"%s for %s","%s pour %s"
"%s order(s) can not be canceled","%s commandes ne peuvent être annulées"
"%s order(s) not put on hold","%s commandes non mises en attente"
"%s order(s) not released from holding status","%s commandes non débloquées"
"%s order(s) successfully canceled","%s commandes ont bien été annulées"
"%s order(s) successfully put on hold","%s commandes ont bien été bloquées"
"%s order(s) successfully released from holding status","%s commandes ont bien été débloquées"
"* - Enter custom price excluding tax","* - Entrez le prix personnalisé HT"
"* - Enter custom price including tax","* - Entrez le prix personnalisé TTC"
"-- Please Select --","-- Choisissez svp --"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'accord de facturation--"
"About This Order:","À propos de cette commande :"
"About This Profile:","À propos de ce profil:"
"About Your Order","À propos de votre commande"
"Accept Payment","Acceptez le paiement"
"Accept or Deny Payment","Paiement accepter ou refuser"
"Account Information","Informations du compte"
"Action","Action"
"Actions","Actions"
"Activate","Activez"
"Active","Actif"
"Add","Ajouter"
"Add Gift Messsage","Ajouter un message cadeau"
"Add New Address","Ajouter une nouvelle adresse"
"Add Order Comments","Ajouter des commentaires de commande"
"Add Products","Ajouter des produits"
"Add Selected Product(s) to Option","Ajouter les produits sélectionnés à l'option"
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande"
"Add To Order","Ajouter à la commande"
"Add Tracking Number","Ajouter un numéro de suivi"
"Add a gift message for <strong>each gift item</strong>","Ajouter un message cadeau pour <strong>chaque article cadeau</strong>"
"Add a gift message for the <strong>entire order</strong>","Ajouter un message cadeau pour <strong>toute la commande</strong>"
"Add comment to order","Ajouter un commentaire à la commande"
"Add new comment to shipment","Ajouter un commentaire à la livraison"
"Add new tracking number","Ajouter un numéro de suivi"
"Add to Cart","Ajouter au panier"
"Address","Adresse"
"Address model is not defined","Aucun modèle d'adresse défini"
