"Pending payment, client sent to Systempay gateway","Paiement en attente, client envoyé vers la plateforme Systempay"
"Pending Systempay","En attente de Systempay"
"No order for processing found","Commande introuvable"
"Unsupported currency","Devise non supportée"
"Invoice %s was created","La facture %s a bien été créée."
"Order registered","Commande enregistrée"
"Systempay checkout and order have been canceled.","La commande Systempay a été annulée"
" tries to access our vads/standard/return page without valid signature. It may be a hacking attempt."," essaie d'accéder à la page /vads/standard/return sans signature valide. Ce peut être une tentative de piratage."
"Server returns an error code but the order has already been accepted","La plateforme de paiement a envoyé un code d'erreur pour un paiement déjà validé"
"Have you properly configured the check url in your bank backoffice ?","La commande a été validée mais la confirmation automatique n'a pas fonctionné. Avez-vous correctement configuré l'url serveur dans l'outil de gestion de caisse ?"
"Received error code but the order has already been accepted","Réception d'un code de paiement invalide pour une commande déjà enregistrée"
"MODULE INFORMATION","INFORMATIONS SUR LE MODULE"
"Developed by","Développé par"
"Contact email","Courriel de contact"
"Module version","Version du module"
"Gateway version","Compatible avec la plateforme"
"Tested with magento","Testé avec Magento"
"MAGENTO CONFIGURATION","INTÉGRATION À MAGENTO"
"In the payment methods list","Dans la liste des moyens de paiement"
"Restrict to some countries","Restreindre ce moyen de paiement à certains pays"
"Authorized countries","Pays autorisés"
"PAYMENT GATEWAY ACCESS","ACCÈS À LA PLATEFORME"
"Site id","Identifiant de la boutique"
"Test key","Certificat en mode test"
"Available in your Systempay backoffice","Disponible dans l'outil de gestion de caisse Systempay"
"Production key","Certificat en mode production"
"Available in your Systempay backoffice after test validation","Disponible dans l'outil de gestion de caisse Systempay disponible après passage en production"
"Mode","Mode"
"TEST or PRODUCTION","TEST ou PRODUCTION"
"Platform url","Url de la plateforme de paiement"
"PAYMENT PAGE","PAGE DE PAIEMENT"
"Language","Langue"
"Default language for payment page","Langue par défaut de la page de paiement"
"Delay","Délai avant remise en banque"
"Validation mode","Type de validation"
"If manual is selected, you will have to confirm payments manually in your bank backoffice","En mode manuel, vous devrez confirmer les paiements dans l'outil de gestion de caisse"
"Credit Card Types","Types de carte acceptés"
"The card type(s) that can be used for the payment separated by semicolons","Le(s) type(s) de carte pouvant être utilisé(s) pour le paiement, séparés par des points-virgules"
"Select ALL to use gateway config","Sélectionner TOUTES pour utiliser la configuration de la plateforme"
"RETURN OPTIONS","RETOUR À LA BOUTIQUE"
"Automatic redirection","Redirection automatique"
"Automatically redirect client to the shop at the end of the payment process","Rediriger automatiquement le client vers la boutique à la fin du processus de paiement"
"If automatic redirection is enabled","Si la redirection automatique est activée"
"Success redirection timeout","Délai avant redirection (paiement réussi)"
"Success redirection message","Message affiché avant redirection (paiement réussi)"
"Error redirection timeout","Délai avant redirection (paiement échoué)"
"Error redirection message","Message affiché avant redirection (paiement échoué)"
"Return mode","Mode de retour"
"How the client transmit payment process result","Façon dont le client transmet le résultat du paiement"
"Refill cart on failure","Remplir le panier en cas d'échec"
"Re-create the cart after a payment failure (fix magento behaviour)","Re-créer le panier après un paiement échoué (corrige le comportement de Magento)"
"Return url","URL de retour à la boutique"
"Where the client will come back. You can provide a path or an absolute url.","Url ou chemin vers lequel le client sera redirigé à la fin du processus de paiement"
"Check url","Url serveur"
"Url to paste in Systempay backoffice","Url à copier dans l'outil de gestion de caisse Systempay"
"Registered orders status","Statut des commandes enregistrées avec ce mode de paiement"
"Status of orders when payment succeeded. If you choose a processing status, the invoice will automatically be created.","Statut des commandes dont le paiement a réussi. La facture sera automatiquement créée pour les statuts 'en cours de traitement'"
"Available languages","Langues disponibles"
"AMOUNT RESTRICTIONS","RESTRICTIONS SUR LE MONTANT"
"MODULE SETTINGS","PARAMÈTRES DU MODULE"
"Minimum Order Total","Montant minimum"
"Maximum Order Total","Montant maximum"
"French","Français"
"German","Allemand"
"English","Anglais"
"Spanish","Espagnol"
"Chinese","Chinois"
"Italian","Italien"
"Japanese","Japonnais"
"Portuguese","Portugais"
"Dutch","Néerlandais"
"Back office configuration","Configuration outil gestion de caisse"
"Automatic","Automatique"
"Manual","Manuelle"
"Yes","Oui"
"No","Non"
"ALL","TOUTES"
"GET (parameters in the url)","GET (paramètres dans l'url)"
"POST (form)","POST (formulaire)"
"Sort order","Ordre"
"Enabled","Activé"
"Title","Titre"
"Refund error","Erreur de remboursement"
"Transaction ID","Numéro de transaction"
"Credit Card Number","Numéro de carte de crédit"
"Expiration Date","Date d'expiration"
"Payment Mean","Moyen de paiement"
