"All Websites","Tous les sites web"
"Apply Discounts To FPT","Appliquer les remises au TFP"
"Apply Tax To FPT","Appliquer la taxe au TFP"
"Display Prices In Emails","Afficher les prix dans les Emails"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Enable FPT","Activer TFP"
"Excluding FPT","Exclure TFP"
"Excluding FPT, FPT description, final price","Exclure TFP, description TFP dans le prix final"
"Fixed Product Tax","Taxe Fixe de Produit"
"Fixed Product Taxes","Taxes Fixes de Produit"
"Include FPT In Subtotal","Inclure TFP dans le sous-total"
"Including FPT and FPT description","Inclure TFP et la description TFP"
"Including FPT and FPT description [incl. FPT VAT]","Inclure TFP et la description TFP [dont TFP]"
"Including FPT only","Inclure seulement FPT"
"Total","Total"
"Total Incl. Tax","Total TTC"
"Total incl. tax","Total TTC"
