"The parcel is too heavy for this shipping method","Le colis est trop lourd pour ce mode de livraison"
"Error in the configuration of the shipping method","Erreur dans la configuration du mode de livraison"
"Display when unavailable","Afficher quand indisponible"
"Configuration","Configuration"
"{configuration_syntax_help}","<a href='http://www.magentocommerce.com/boards/viewthread/37860/' target='_blank'>Aide</a>"
"Tracking URL","URL de suivi"
"Stop to first match","Arrêt à la première correspondance trouvée"
"Overwrite value for all shipping methods of Owebia Shipping module","Écrase la valeur pour tous les modes de livraisons du module Owebia Shipping"
"Owebia Shipping module","Module Owebia Shipping"
"Weight unit","Unité de poids"
"By destination zone and by weight","Par zone de destination et par poids"
"By destination zone and by price","Par zone de destination et par prix"
"By destination zone and by item","Par zone de destination et par article"
"The order amount is too high for this shipping method","Le montant de la commande est trop élevé pour ce mode de livraison"
"There is too many items for this shipping method","Il y a trop d'articles pour ce mode de livraison"
"items","articles"
"Display weight","Afficher le poids"
"Display weight when null","Afficher le poids s'il est nul"
"Active when weight null","Activé lorsque le poids est nul"
"Use amount with tax","Utiliser le montant TTC"
"The shipping method isn't available with this cart amount","Le mode de livraison n'est pas disponible avec ce montant de panier"
"track the package","suivre le colis"
"The cart doesn't match prices range (%s, %s)","Le panier ne correspond pas à la tranche de prix (%s, %s)"
"The cart doesn't match weights range (%s, %s)","Le panier ne correspond pas à la tranche de poids (%s, %s)"
"The shipping method doesn't cover the zone (%s)","Le mode de livraison ne couvre pas la zone (%s)"
"Prices range error (%s)","Erreur de tranche de prix (%s)"
"Weights range error (%s)","Erreur de tranche de poids (%s)"
"No match found","Aucune correspondance trouvée"
"Configuration disabled","Configuration désactivée"
"Error in the fees formula","Erreur dans la formule de calcul des frais"
