"Newsletter Address Import","Importazione Indirizzi Newsletter"
"Add Import Item","Aggiungi Elemento da Importare"
"Title","Titolo"
"Email Addresses (Comma seperated or with line breaks)","Indirizzi Email (Separati da virgola o da su singola linea)"
"Enabled","Abilitato"
"Disabled","Disabilitato"
"Action","Azione"
"Edit","Modifica"
"Import","Importa"
"Save Item", "Salva Elemento"
"Delete Item", "Elimina Elemento"
"Item was imported", "L'elemento è stato importato"
"Import addresses","Importa indirizzi"
"%d inserted addresses","%d indirizzi inseriti"
"%d invalid addresses: %s","%d indirizzi non validi: %s"
"%d found addresses: %s","%d indirizzi già presenti: %s",
