identifiant;titre;description;catégorie de produits google;catégorie;lien;lien image;état;disponibilité;prix;prix soldé;marque;gtin;mpn;livraison
3930;The bento box Made in France - MB Original Wood / black Onyx;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-wood-black.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/o/monbento-mbo-bois-iso-532px.png;neuf;en stock;129,90 USD;;monbento;3760192685757;120002999;9,90 USD
4433;The bento box Made in France - MB Original Wood / pink Litchi;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-litchi-wood.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/b/e/bento-box-wood-pink.png;neuf;en stock;129,90 USD;;monbento;3760192685771;120001966;9,90 USD
4746;The lunch box Made in France - MB Original MB Original Top Wood / blue Crystal;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/top-wood-bento-box-mb-original-blue-crystal.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-bois-crystal-iso.png;neuf;en stock;74,90 USD;;monbento;aucun EAN;11003985;9,90 USD
4747;The lunch box Made in France - MB Original Top Wood / pink Flamingo;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/top-wood-bento-box-mb-original-pink-flamingo.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-bois-flamingo-iso.png;neuf;en stock;74,90 USD;;monbento;aucun EAN;11003986;9,90 USD
4730;The lunch box Made in France - MB Original graphic Ginkgo;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-ginkgo-japanese-pattern-made-in-france-pink.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-spring-ginkgo-iso.png;neuf;en stock;42,90 USD;;monbento;3760192687058;11124016;9,90 USD
4731;The lunch box Made in France - MB Original graphic Neko;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-maneki-neko-japanese-pattern-made-in-france-traditional-cat-red.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-spring-neko-iso.png;neuf;en stock;42,90 USD;;monbento;3760192687065;11124017;9,90 USD
4677;The bento box Made in France - MB Original graphic Romantic;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/valentine-day-gift-idea-bento-flowers.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-stvalentin2020-iso.png;neuf;en stock;42,90 USD;;monbento;3760192686938;11128004;9,90 USD
4647;The lunch box Made in France -MB Original graphic Strawberry ;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-graphic-strawberry-lunch-box-made-in-france.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-star-edition-strawberry-iso.png;neuf;en stock;42,90 USD;;monbento;3760192686419;11124013;9,90 USD
4334;The bento lunch box Made in France - MB Original graphic Jungle;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-jungle-made-in-france.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-jungle-iso.png;neuf;en stock;42,90 USD;;monbento;3760192683777;100001430;9,90 USD
4424;The bento box Made in France - MB Original graphic Blossom;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-blossom-made-in-france.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-blossom-iso.png;neuf;en stock;42,90 USD;;monbento;3760192685290;100001333;9,90 USD
