id	gtin	title	color	material	pattern	google_product_category	product_type	size	brand	description	link	image_link	additional_image_link	price	condition	availability
"100301001"	"3760192680226"	"monbento, baguettes blanches"	"Blanc/Bois"	"Bambou"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Ustensiles et accessoires de cuisine &gt; Coutellerie"	"Baguettes"	""	"Monbento"	"<ul> <li>Baguettes en bambou.</li> <li>Vendues par paire.</li> <li>Marquage Mon bento noir sur fond blanc.</li> <li>Longueur : 21 cm.</li> </ul>"	"http://www.monbento.com/baguettes-mon-bento-blanc.html"	"http://www.monbento.com/media/catalog/product/b/a/baguette_monbento_blanche_4.jpg"	"http://www.monbento.com/media/catalog/product/b/a/baguette_monbento_blanche_4.jpg,http://www.monbento.com/media/catalog/product/b/a/baguette-mon-bento-blanche-3.jpg,http://www.monbento.com/media/catalog/product/b/a/baguette-mon-bento-blanche-2.jpg"	"2.8"	"new"	"in stock"
"100301003"	"3760192680240"	"monbento, baguettes naturelles"	"Bois"	"Bambou"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Ustensiles et accessoires de cuisine &gt; Coutellerie"	"Baguettes"	""	"Monbento"	"<ul> <li>Baguettes en bambou.</li> <li>Vendues par paire.</li> <li>Marquage Mon bento noir sur fond couleur bois naturel.</li> <li>Longueur : 21 cm.</li> </ul>"	"http://www.monbento.com/baguettes-mon-bento-naturel.html"	"http://www.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre.jpg"	"http://www.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre.jpg,http://www.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre-3.jpg,http://www.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre-1.jpg,http://www.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre-2.jpg"	"2.8"	"new"	"in stock"
"1000 02 002"	"3760192680011"	"Boite bento monbento™ Original - noir"	"Noir"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE/silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.</li> </ul> <ul> </ul> <p>﻿</p>"	"http://www.monbento.com/bento-original-noir.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir_2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir-01_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir-02.jpg"	"28"	"new"	"in stock"
"1000 02 001"	"3760192680004"	"Boite bento monbento™ Original - blanc"	"Blanc"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE, silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.</li> </ul> <ul> </ul>"	"http://www.monbento.com/bento-original-blanc.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc_4.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc_4.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc-01_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc-02.jpg"	"28"	"new"	"in stock"
"1000 02 103"	"3760192680349"	"Boite bento monbento™ Original - fushia"	"Fushia"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE/silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.</li> </ul> <ul> </ul> <p>&nbsp;</p> <p>﻿</p>"	"http://www.monbento.com/bento-original-fushia.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia_2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia-02.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia-01_1.jpg"	"28"	"new"	"in stock"
"1000 02 105"	"3760192680080"	"Boite bento monbento™ Original - vert"	"vert"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE/silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.</li> </ul>"	"http://www.monbento.com/bento-original-vert.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert_2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert-01_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert-02.jpg"	"28"	"new"	"in stock"
"1000 02 109"	"3760192680073"	"Boite bento monbento™ Original - bleu"	"Bleu"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE/silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.</li> </ul> <p>﻿</p>"	"http://www.monbento.com/bento-original-bleu.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu_2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu-01_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu-02.jpg"	"28"	"new"	"out of stock"
"1000 02 106"	"3760192680325"	"Boite bento monbento™ Original - rose"	"Rose"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE/silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.<br /><br /></li> </ul> <p>﻿</p>"	"http://www.monbento.com/bento-original-rose.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose_1.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose-01_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose-02.jpg"	"28"	"new"	"out of stock"
"1000 02 108"	"3760192680288"	"Boite bento monbento™ Original - rouge"	"Rouge"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE, silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.</li> </ul> <ul> </ul> <p>﻿</p>"	"http://www.monbento.com/bento-original-rouge.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge_2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge-01_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge-02.jpg"	"28"	"new"	"in stock"
"1000 02 320"	"3760192680301"	"Boite bento monbento™ Original - koï"	"Noir"	"PBT/PP/TPE/silicone"	"Koï"	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT, couvercle interm&eacute;diaire : PP/TPE/silicone.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.<br /><br /></li> </ul> <p>﻿</p>"	"http://www.monbento.com/bento-original-koi.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-koi.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-koi.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-koi-01.jpg"	"29"	"new"	"in stock"
