id	gtin	title	color	material	pattern	google_product_category	product_type	size	brand	description	link	image_link	additional_image_link	price	condition	availability
"100301001"	"3760192680226"	"chopsticks monbento white"	"White/Wood"	"bamboo"	""	"Home & Garden &gt; Kitchen & Dining &gt; Kitchen Tools & Utensils &gt; Cutlery"	"Chopsticks"	""	"Monbento"	"<ul> </ul> <ul> <li>Chopsticks made of bamboo.</li> <li>Sold in pairs.</li> <li>Tagged monbento black with a white background.</li> <li>Length: 21 cm.</li> </ul> <p>﻿</p> <ul> </ul>"	"http://en.monbento.com/chopsticks-mon-bento-white.html"	"http://en.monbento.com/media/catalog/product/b/a/baguette_monbento_blanche_4.jpg"	"http://en.monbento.com/media/catalog/product/b/a/baguette_monbento_blanche_4.jpg,http://en.monbento.com/media/catalog/product/b/a/baguette-mon-bento-blanche-3.jpg,http://en.monbento.com/media/catalog/product/b/a/baguette-mon-bento-blanche-2.jpg"	"2.8"	"new"	"in stock"
"100301003"	"3760192680240"	"chopsticks monbento nude color"	"Wood"	"bamboo"	""	"Home & Garden &gt; Kitchen & Dining &gt; Kitchen Tools & Utensils &gt; Cutlery"	"Chopsticks"	""	"Monbento"	"<ul> </ul> <ul> <li>Chopsticks made of bamboo.</li> <li>Sold in pairs.</li> <li>Brown color, withe black tagge monbento.</li> <li>Length: 21 cm.</li> </ul> <p>﻿</p> <ul> </ul>"	"http://en.monbento.com/chopsticks-mon-bento-natural.html"	"http://en.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre.jpg"	"http://en.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre.jpg,http://en.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre-3.jpg,http://en.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre-1.jpg,http://en.monbento.com/media/catalog/product/b/a/baguette-mon-bento-neutre-2.jpg"	"2.8"	"new"	"in stock"
"1000 02 002"	"3760192680011"	"Monbento™ Original bento box - black"	"Black"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul>"	"http://en.monbento.com/monbentotm-original-bento-box-black.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir_2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir-01_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-noir-02.jpg"	"28"	"new"	"in stock"
"1000 02 001"	"3760192680004"	"Monbento™ Original bento box - white"	"White"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<div><br />  <ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.<br /><br /></li> </ul> </div>"	"http://en.monbento.com/monbentotm-original-bento-box-white.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc_4.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc_4.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc-01_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-blanc-02.jpg"	"28"	"new"	"in stock"
"1000 02 103"	"3760192680349"	"Monbento™ Original bento box - fushia"	"Fuschia"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul>"	"http://en.monbento.com/monbentotm-original-bento-box-fushia.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia_2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia-02.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-fushia-01_1.jpg"	"28"	"new"	"in stock"
"1000 02 105"	"3760192680080"	"Monbento™ Original bento box - green"	"Green"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul>"	"http://en.monbento.com/monbentotm-original-bento-box-green.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert_2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert-01_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-vert-02.jpg"	"28"	"new"	"in stock"
"1000 02 109"	"3760192680073"	"Monbento™ Original bento box - blue"	"Blue"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul>"	"http://en.monbento.com/bento-original-blue.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu_2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu-01_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-bleu-02.jpg"	"28"	"new"	"out of stock"
"1000 02 106"	"3760192680325"	"Monbento™ Original bento box - pink"	"Pink"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul>"	"http://en.monbento.com/monbentotm-original-bento-box-pink.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose_1.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose-01_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rose-02.jpg"	"28"	"new"	"out of stock"
"1000 02 108"	"3760192680288"	"Monbento™ Original bento box - red"	"Red"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul>"	"http://en.monbento.com/monbentotm-original-bento-box-red.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge_2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge-01_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-rouge-02.jpg"	"28"	"new"	"in stock"
"1000 02 320"	"3760192680301"	"Monbento™ Original bento box - koï"	"Black"	"PBT/PP/TPE/silicone"	"Koï"	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul> <p>&nbsp;</p>"	"http://en.monbento.com/monbentotm-original-bento-box-koi.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-koi.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-koi.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-koi-01.jpg"	"29"	"new"	"in stock"
"1000 02 310"	"3760192680349"	"Monbento™ Original bento box - butterfly"	"White/fuschia"	"PBT/PP/TPE/silicone"	"Butterfly"	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul>"	"http://en.monbento.com/monbentotm-original-bento-box-butterfly.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-butterfly_1.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-butterfly_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-butterfly-01_1.jpg"	"29"	"new"	"in stock"
"séparateur bento Original"	"3760192680363"	"monbento™ Original bento separator"	""	"ABS"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Bento box accessories"	""	"Monbento"	"<ul> <li>Size : 8,5 cm lenght, 3,2 cm height</li> <li>Material : ABS</li> <li>Microwave and dishwasher friendly</li> <li>Available in 7 colors.</li> <li>No Bisphenol-A&nbsp;nor&nbsp;Phthalate.<br /><br /></li> </ul>"	"http://en.monbento.com/separator-bento-original.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-rouge.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-bleu-clair.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-fushia.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-bleu.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-jaune.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-gris.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-rose.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-vert.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-separateur-v2-monbento-blanc.jpg"	"2.5"	"new"	"in stock"
"1000 03 002"	"3760192681315"	"Monbento™ bento box Square - black"	"Black"	"ABS/PE"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"MB Square bentos "	"L"	""	"<ul> <li> </li> <li>Dimensions : 15 x 15 x 15 cm - 5.9 x 5.9 x 5.9 in.</li> <li>Capacity : 2L (3 x 666 ml) - 68 oz (3 x 23 oz).</li> <li>Dishwasher safe.</li> <li>Microwavable (remove lids).</li> <li>Easy to clean (entretien facilite).</li> <li>Smooth contact, rubberlike aspect.</li> <li>Trendy colours and design.</li> <li>We recommend not to shake your bento when carrying soup or liquid food.</li> <li>Made up of 9 pieces : 1 upper lid, 3 intermediate lids, 3 containers, 1 food separator, 1 elastic strap.</li> <li>Lunch box : ABS, intermediate lids : PE. &nbsp;</li> <li>No Bisphenol-A&nbsp;nor&nbsp;Phthalate.<br /><br /></li> </ul>"	"http://en.monbento.com/monbento-bento-box-square-black.html"	"http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-noir.jpg"	"http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-noir.jpg,http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-noir-02.jpg,http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-noir-01.jpg"	"34"	"new"	"in stock"
"1000 03 010"	"3760192680332"	"Monbento™ bento box Square - sand"	"Sand"	"ABS/PE"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"MB Square bentos "	"L"	""	"<ul> <li>Dimensions : 15 x 15 x 15 cm </li> <li>Capacity : 2L (3 x 666 ml)</li> <li>Dishwasher safe</li> <li>Microwavable (remove lids)</li> <li>Easy to clean (entretien facilite)</li> <li>Smooth contact, rubberlike aspect.</li> <li>Trendy colours and design.</li> <li>We recommend not to shake your bento when carrying soup or liquid food.</li> <li>Made up of 9 pieces : 1 upper lid, 3 intermediate lids, 3 containers, 1 food separator, 1 elastic strap.</li> <li>Lunch box : ABS, intermediate lids : PE. &nbsp;</li> <li>No Bisphenol-A&nbsp;nor&nbsp;Phthalate.<br /><br /></li> </ul>"	"http://en.monbento.com/monbento-bento-box-square-sand.html"	"http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-sable.jpg"	"http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-sable.jpg,http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-sable-02.jpg,http://en.monbento.com/media/catalog/product/b/o/boite-mon-bento-square-sable-01.jpg"	"34"	"new"	"in stock"
